data;temp_avg;temp_min;temp_max;precip;weekend;beer_consumption
2015-05-31;16,28;13,6;18,4;5,6;True;26.081
2015-06-01;16,28;15,2;18;2,2;False;16.228
2015-06-02;16,04;15;17,5;0,5;False;20.106
2015-06-03;17,94;15;21,7;0;False;21.055
2015-06-04;18,36;14,6;24,1;0;False;22.772
2015-06-05;18,32;14,1;25,3;0;False;25.142
2015-06-06;19,66;13,8;26,1;0;True;31.129
2015-06-07;20,62;15,9;26,2;0;True;30.498
2015-06-08;20,86;15,2;26,4;0;False;26.150
2015-06-09;20,32;15,2;26;0;False;21.327
2015-06-10;20,54;15,5;26,2;0;False;22.008
2015-06-11;22,72;17,5;26,9;0;False;24.615
2015-06-12;18,8;16,9;23,5;0;False;22.375
2015-06-13;21,1;15,5;27,4;0;True;29.607
2015-06-14;22,76;18,1;27,3;0;True;32.983
2015-06-15;16,02;13,1;;0;False;19.119
2015-06-16;14,82;12,1;18,1;9;False;21.029
2015-06-17;19,8;13,9;25,1;0;False;23.898
2015-06-18;;15,8;26,2;0;False;24.534
2015-06-19;14,66;13,2;17,7;3,8;False;16.748
2015-06-20;15,82;12,5;20,4;0;True;23.055
2015-06-21;17,32;12,6;24,6;0;True;28.857
2015-06-22;18,54;13,1;24,6;0;False;23.022
2015-06-23;19,02;14,4;25,5;0;False;27.146
2015-06-24;14,54;13,9;18;3,8;False;17.241
2015-06-25;14,72;12,1;17,4;1;False;19.463
2015-06-26;15,26;12;20,9;0;False;21.860
2015-06-27;15,34;10,6;20,8;0;True;24.227
2015-06-28;15,48;11,2;21,8;0;True;27.594
2015-06-29;17,2;11;24,4;0;False;24.863
2015-06-30;19,36;13,2;25,1;0;False;20.161
2015-07-01;;16,2;20,5;0;False;20.824
2015-07-02;17,2;15,1;19,9;1,6;False;19.727
2015-07-03;17,52;15,6;18,4;17,8;False;14.940
2015-07-04;14,94;10,9;21;15,2;True;24.632
2015-07-05;12,9;11;14,5;4,4;True;21.294
2015-07-06;15,78;11,3;20,6;0;False;18.448
2015-07-07;16,8;13,3;20,2;0;False;21.237
2015-07-08;17,02;14,9;18,7;4,5;False;19.849
2015-07-09;17,54;15,3;20,4;0;False;20.740
2015-07-10;19,24;14;25,4;0;False;25.698
2015-07-11;17,46;16;19,8;0;True;26.691
2015-07-12;20,32;14;27,4;3;True;33.298
2015-07-13;22,06;16,7;28,7;0;False;25.640
2015-07-14;23,3;18,4;29,3;0;False;23.937
2015-07-15;20,18;17,2;27,6;0;False;28.742
2015-07-16;19,88;16,2;25,8;0;False;21.748
2015-07-17;19,14;15,8;24,3;0;False;22.032
2015-07-18;20,2;18,2;23,8;0;True;24.827
2015-07-19;19,98;14,6;25,9;0;True;32.473
2015-07-20;20,56;14,9;25,1;0;False;20.620
2015-07-21;16,72;14;21,4;0;False;21.825
2015-07-22;14,52;12,8;16,1;0;False;14.343
2015-07-23;17,02;13,6;20,6;0;False;19.029
2015-07-24;18,46;14,3;25,8;0;False;21.104
2015-07-25;15,9;14,9;17,9;16,6;True;20.738
2015-07-26;16,82;13,6;22,9;2;True;25.233
2015-07-27;16,6;11;24,2;0;False;18.975
2015-07-28;16,46;11,6;24,5;0;False;19.640
2015-07-29;16,2;11;23,8;0;False;22.522
2015-07-30;16,76;11,3;26,7;0;False;24.227
2015-07-31;19,24;12,8;26,6;0;False;24.726
2015-08-01;19,78;14,3;26,4;0;True;32.467
2015-08-02;20,1;13,8;26,3;0;True;31.663
2015-08-03;21,16;14,9;26,9;0;False;25.867
2015-08-04;21,04;15,2;27,4;0;False;27.724
2015-08-05;20,96;15;27,2;0;False;22.039
2015-08-06;21,06;16,3;27,7;0;False;26.127
2015-08-07;22,08;15,5;28,9;0;False;26.580
2015-08-08;21,16;16;27,8;0;True;31.310
2015-08-09;19,62;15,6;26,2;0;True;33.517
2015-08-10;21,2;15,6;28;0;False;23.181
2015-08-11;19,6;15,2;27,2;0;False;24.183
2015-08-12;20,12;14,1;26,6;0;False;24.594
2015-08-13;20,42;14,1;28,1;0;False;22.610
2015-08-14;20,86;15,3;27,6;0;False;25.479
2015-08-15;21,44;15,6;27,8;0;True;29.621
2015-08-16;20,56;16,2;27,2;0;True;26.272
2015-08-17;21,58;15,3;28;0;False;22.541
2015-08-18;21,3;16,7;26,5;0;False;23.070
2015-08-19;20,74;17,3;28,3;0;False;26.021
